step,nodes,u,mean_mass
0,24406,0.0,1.0
1,24396,0.0007285974499089253,1.00040990326283
51,23896,0.03715846994535519,1.021342484097757
101,23396,0.07358834244080145,1.0431697726107028
151,22896,0.11001821493624772,1.0659503843466107
201,22406,0.14571948998178508,1.0892618048736946
251,21956,0.1785063752276867,1.1115868099836035
301,21506,0.21129326047358835,1.1348460894634056
351,21056,0.24408014571949,1.1590995440729484
401,20606,0.2768670309653916,1.1844123070950208
451,20156,0.30965391621129323,1.2108553284381822
501,19738,0.3401092896174863,1.2364981254433074
551,19338,0.36925318761384335,1.2620746716309856
601,18938,0.3983970856102004,1.2887316506494877
651,18538,0.4275409836065574,1.3165390009709785
701,18138,0.45668488160291437,1.3455728305215569
751,17738,0.4858287795992714,1.3759161123012742
801,17358,0.5135154826958106,1.406037561931098
851,17008,0.539016393442623,1.4349717779868296
901,16658,0.5645173041894354,1.4651218633689518
951,16308,0.5900182149362477,1.4965661025263675
1001,15958,0.6155191256830601,1.529389647825542
1051,15608,0.6410200364298725,1.5636852895950795
1101,15258,0.6665209471766849,1.5995543321536243
1151,14921,0.6910746812386157,1.6356812546076
1201,14621,0.7129326047358834,1.669242869844744
1251,14321,0.7347905282331512,1.7042105998184485
1301,14021,0.756648451730419,1.7406747022323656
1351,13721,0.7785063752276867,1.778733328474601
1401,13421,0.8003642987249545,1.8184934058564937
1451,13121,0.8222222222222222,1.8600716408810305
1501,12820,0.8441530054644809,1.9037441497659906
1551,12470,0.8696539162112933,1.957177225340818
1601,12120,0.8951548269581057,2.0136963696369636
1651,11802,0.9183242258652095,2.067954583968819
1701,11502,0.9401821493624772,2.1218918448965396
1751,11202,0.962040072859745,2.1787180860560613
1801,10902,0.9838979963570128,2.238671803338837
1841,10681,1.0,2.2849920419436383
