step,u,nodes,candidate_interfaces,admissible_interfaces,admissible_fraction
0,0.0,24406,41531,14536,0.3500036117598902
25,0.018214936247723135,24156,41124,14313,0.3480449372629122
50,0.03642987249544627,23906,40699,14110,0.3466915649033146
75,0.0546448087431694,23656,40291,13900,0.3449901963217592
99,0.07213114754098361,23416,39892,13699,0.3434021859019352
124,0.09034608378870675,23166,39453,13499,0.34215395533926446
149,0.10856102003642987,22916,39018,13296,0.34076580039981547
174,0.126775956284153,22666,38589,13106,0.33963046464018243
199,0.144408014571949,22424,38206,12938,0.3386379102758729
224,0.16080145719489983,22199,37821,12770,0.33764310832606226
249,0.17719489981785064,21974,37437,12599,0.3365387183802121
274,0.19358834244080145,21749,37065,12449,0.33586941858896535
298,0.20932604735883426,21533,36703,12290,0.33485001226057814
323,0.22571948998178507,21308,36313,12137,0.3342329193401812
348,0.24211293260473588,21083,35929,11968,0.3331013944167664
373,0.2585063752276867,20858,35556,11806,0.33203959950500617
398,0.2748998178506375,20633,35176,11649,0.33116329315442344
423,0.29129326047358833,20408,34776,11467,0.3297389003910743
448,0.30768670309653917,20183,34415,11333,0.32930408252215604
472,0.32320582877959925,19970,34048,11204,0.32906484962406013
497,0.3377777777777778,19770,33690,11025,0.3272484416740873
522,0.3523497267759563,19570,33369,10885,0.3262009649674848
547,0.3669216757741348,19370,33034,10742,0.3251801174547436
572,0.3814936247723133,19170,32691,10594,0.32406472729497415
597,0.3960655737704918,18970,32343,10437,0.32269733790928484
622,0.4106375227686703,18770,32008,10277,0.3210759810047488
646,0.4246265938069217,18578,31682,10114,0.319234896786819
671,0.4391985428051002,18378,31342,9983,0.31851828217727013
696,0.45377049180327866,18178,31017,9880,0.3185349969371635
721,0.4683424408014572,17978,30681,9754,0.3179166259248395
746,0.4829143897996357,17778,30330,9617,0.3170787998681174
771,0.49748633879781423,17578,29982,9430,0.3145220465612701
796,0.5109653916211293,17393,29670,9295,0.3132794068082238
821,0.5237158469945355,17218,29367,9138,0.3111655940341199
845,0.5359562841530054,17050,29083,9001,0.3094935185503559
870,0.5487067395264117,16875,28801,8907,0.30926009513558556
895,0.5614571948998178,16700,28493,8747,0.3069876811848524
920,0.5742076502732241,16525,28186,8561,0.30373234939331584
945,0.5869581056466302,16350,27902,8399,0.30101784818292593
970,0.5997085610200364,16175,27603,8237,0.29840959316016374
995,0.6124590163934426,16000,27304,8064,0.29534134192792266
1019,0.6246994535519126,15832,27011,7906,0.292695568472104
1044,0.6374499089253187,15657,26711,7736,0.28961850922840776
1069,0.650200364298725,15482,26423,7536,0.28520607046890967
1094,0.6629508196721311,15307,26127,7339,0.28089715619856853
1119,0.6757012750455373,15132,25833,7161,0.2772035768203461
1144,0.6880145719489982,14963,25535,6905,0.27041315841002544
1169,0.6989435336976321,14813,25270,6729,0.2662841313810843
1194,0.709872495446266,14663,25019,6487,0.259282944961829
1218,0.7203642987249544,14519,24770,6297,0.2542188130803391
1243,0.7312932604735883,14369,24503,6134,0.2503366934661062
1268,0.7422222222222222,14219,24242,5914,0.24395676924346177
1293,0.7531511839708561,14069,23988,5739,0.2392446223111556
1318,0.76408014571949,13919,23728,5458,0.2300236008091706
1343,0.7750091074681239,13769,23478,5312,0.2262543657892495
1368,0.7859380692167578,13619,23194,4951,0.21346037768388376
1392,0.7964298724954463,13475,22928,4603,0.20075889741800418
1417,0.8073588342440802,13325,22669,4277,0.18867175437822578
1442,0.8182877959927141,13175,22397,4081,0.18221190337991694
1467,0.829216757741348,13025,22120,3888,0.17576853526220615
1492,0.8401457194899817,12875,21842,3712,0.16994780697738301
1517,0.8523132969034608,12708,21542,3398,0.15773837155324483
1542,0.865063752276867,12533,21229,3192,0.1503603561166329
1566,0.877304189435337,12365,20923,3027,0.144673326004875
1591,0.8900546448087432,12190,20618,1595,0.07735958870889514
1616,0.9028051001821493,12015,20317,1403,0.06905547078801004
1641,0.9139526411657559,11862,20022,1224,0.0611327539706323
1666,0.9248816029143898,11712,19746,1041,0.05271953813430568
1691,0.9358105646630237,11562,19459,849,0.04363019682409168
1716,0.9467395264116576,11412,19196,669,0.034851010627214005
1741,0.9576684881602915,11262,18920,492,0.026004228329809725
1765,0.96816029143898,11118,18651,373,0.01999892767143853
1790,0.9790892531876139,10968,18377,221,0.012025901942645698
1815,0.9900182149362478,10818,18106,96,0.0053021097978570636
1840,1.0,10681,17838,0,0.0
