step,nodes,merges_this_step,cumulative_merges,u,mean_mass
0,97560,0,0,0.0,1.0
1,97520,40,40,0.0007108836283500391,1.0004101722723544
2,97480,40,80,0.0014217672567000783,1.0008206811653673
3,97441,39,119,0.0021148787943413663,1.0012212518344434
4,97402,39,158,0.0028079903319826543,1.0016221432824788
5,97363,39,197,0.0035011018696239427,1.0020233558949498
6,97324,39,236,0.004194213407265231,1.0024248900579507
7,97285,39,275,0.004887324944906519,1.002826746158195
8,97246,39,314,0.005580436482547807,1.0032289245830162
9,97207,39,353,0.006273548020189095,1.00363142572037
10,97168,39,392,0.0069666595578303835,1.0040342499588342
11,97129,39,431,0.0076597710954716715,1.0044373976876113
12,97090,39,470,0.008352882633112959,1.004840869296529
13,97051,39,509,0.009045994170754247,1.0052446651760414
14,97012,39,548,0.009739105708395536,1.005648785717231
15,96973,39,587,0.010432217246036823,1.0060532313118085
16,96934,39,626,0.011125328783678112,1.006458002352116
17,96895,39,665,0.0118184403213194,1.0068630992311265
18,96856,39,704,0.012511551858960688,1.0072685223424465
19,96817,39,743,0.013204663396601977,1.0076742720803165
20,96778,39,782,0.013897774934243264,1.0080803488396124
21,96739,39,821,0.014590886471884553,1.0084867530158468
22,96700,39,860,0.01528399800952584,1.0088934850051707
23,96661,39,899,0.015977109547167127,1.009300545204374
24,96622,39,938,0.016670221084808416,1.0097079340108879
25,96583,39,977,0.017363332622449705,1.0101156518227845
26,96544,39,1016,0.018056444160090994,1.0105236990387803
27,96505,39,1055,0.018749555697732283,1.0109320760582354
28,96466,39,1094,0.019442667235373568,1.011340783281156
29,96427,39,1133,0.020135778773014857,1.011749821108196
30,96388,39,1172,0.020828890310656146,1.0121591899406566
31,96349,39,1211,0.021522001848297435,1.0125688901804897
32,96310,39,1250,0.022215113385938724,1.012978922230298
33,96271,39,1289,0.02290822492358001,1.0133892864933365
34,96232,39,1328,0.023601336461221298,1.013799983373514
35,96193,39,1367,0.024294447998862587,1.0142110132753943
36,96154,39,1406,0.024987559536503876,1.0146223766041975
37,96115,39,1445,0.02568067107414516,1.0150340737658015
38,96076,39,1484,0.02637378261178645,1.015446105166743
39,96037,39,1523,0.02706689414942774,1.0158584712142196
40,95998,39,1562,0.027760005687069027,1.01627117231609
41,95959,39,1601,0.028453117224710316,1.0166842088808763
42,95920,39,1640,0.0291462287623516,1.0170975813177647
43,95881,39,1679,0.02983934029999289,1.017511290036608
44,95842,39,1718,0.03053245183763418,1.0179253354479247
45,95803,39,1757,0.03122556337527547,1.018339717962903
46,95764,39,1796,0.03191867491291676,1.0187544379934004
47,95725,39,1835,0.032611786450558046,1.0191694959519457
48,95686,39,1874,0.033304897988199335,1.01958489225174
49,95647,39,1913,0.03399800952584062,1.0200006273066589
50,95608,39,1952,0.034691121063481906,1.0204167015312526
51,95569,39,1991,0.035384232601123194,1.0208331153407486
52,95530,39,2030,0.03607734413876448,1.021249869151052
53,95491,39,2069,0.03677045567640577,1.0216669633787476
54,95452,39,2108,0.03746356721404706,1.0220843984411012
55,95413,39,2147,0.03815667875168835,1.0225021747560605
56,95374,39,2186,0.03884979028932964,1.0229202927422567
57,95335,39,2225,0.03954290182697093,1.0233387528190068
58,95296,39,2264,0.040236013364612216,1.023757555406313
59,95257,39,2303,0.0409291249022535,1.0241767009248663
60,95218,39,2342,0.04162223643989479,1.024596189796047
61,95179,39,2381,0.042315347977536076,1.0250160224419251
62,95140,39,2420,0.043008459515177365,1.0254361992852639
63,95101,39,2459,0.043701571052818654,1.0258567207495188
64,95062,39,2498,0.04439468259045994,1.0262775872588417
65,95023,39,2537,0.04508779412810123,1.0266987992380792
66,94984,39,2576,0.04578090566574252,1.027120357112777
67,94946,38,2614,0.04645624511267506,1.0275314389231773
68,94908,38,2652,0.047131584559607594,1.0279428499178151
69,94870,38,2690,0.04780692400654013,1.0283545904922526
70,94832,38,2728,0.04848226345347267,1.028766661042686
71,94794,38,2766,0.0491576029004052,1.029179061965947
72,94756,38,2804,0.04983294234733774,1.0295917936595045
73,94718,38,2842,0.05050828179427028,1.0300048565214637
74,94680,38,2880,0.05118362124120281,1.0304182509505704
75,94642,38,2918,0.05185896068813535,1.03083197734621
76,94604,38,2956,0.052534300135067886,1.0312460361084097
77,94566,38,2994,0.05320963958200042,1.0316604276378403
78,94528,38,3032,0.05388497902893297,1.0320751523358158
79,94490,38,3070,0.0545603184758655,1.0324902106042968
80,94452,38,3108,0.05523565792279804,1.03290560284589
81,94414,38,3146,0.055910997369730576,1.0333213294638508
82,94376,38,3184,0.05658633681666311,1.0337373908620835
83,94338,38,3222,0.05726167626359565,1.034153787445144
84,94300,38,3260,0.057937015710528186,1.0345705196182398
85,94262,38,3298,0.05861235515746072,1.0349875877872314
86,94224,38,3336,0.05928769460439326,1.0354049923586348
87,94186,38,3374,0.059963034051325796,1.0358227337396215
88,94148,38,3412,0.06063837349825833,1.036240812338021
89,94110,38,3450,0.06131371294519087,1.0366592285623206
90,94072,38,3488,0.061989052392123406,1.0370779828216685
91,94034,38,3526,0.06266439183905595,1.0374970755258737
92,93996,38,3564,0.06333973128598848,1.037916507085408
93,93958,38,3602,0.06401507073292102,1.0383362779114071
94,93920,38,3640,0.06469041017985355,1.038756388415673
95,93882,38,3678,0.0653657496267861,1.039176839010673
96,93844,38,3716,0.06604108907371863,1.0395976301095435
97,93806,38,3754,0.06671642852065117,1.0400187621260901
98,93768,38,3792,0.06739176796758371,1.0404402354747888
99,93730,38,3830,0.06806710741451624,1.0408620505707884
100,93692,38,3868,0.06874244686144879,1.0412842078299107
