step,nodes,u,mean_mass
0,97560,0.0,1.0
1,97520,0.0007108836283500391,1.0004101722723544
51,95569,0.035384232601123194,1.0208331153407486
101,93654,0.06941778630838132,1.0417067076686528
151,91773,0.1028470889315419,1.0630577620868884
201,89925,0.1356899125613137,1.0849040867389492
251,88125,0.16767967583706547,1.107063829787234
301,86357,0.1991007322101372,1.129728916011441
351,84618,0.23000639795265515,1.1529461816634758
401,82918,0.2602189521575318,1.1765840951301285
451,81255,0.2897739390061847,1.2006645744877238
501,79616,0.3189023956778275,1.2253818327974277
551,78016,0.3473377408118291,1.250512715340443
601,76449,0.3751866069524419,1.2761448809009928
651,74902,0.40268003127887964,1.302501935862861
701,73402,0.42933816734200614,1.3291190975722733
751,71921,0.4556586336816663,1.3564883691828533
801,70471,0.4814281652093552,1.3843992564317238
851,69054,0.5066112177436554,1.4128073681466677
901,67654,0.5314921447359068,1.4420433381618234
951,66298,0.5555910997369731,1.471537602944282
1001,64949,0.5795656501030781,1.5021016489861276
1051,63649,0.6026693680244544,1.532781347703813
1101,62354,0.6256842254922869,1.5646149405010104
1151,61104,0.6478993388782256,1.5966221523959152
1201,59859,0.6700255918106206,1.6298301007367313
1251,58659,0.6913521006611217,1.6631718917813123
1301,57460,0.7126608374209142,1.6978767838496345
1351,56310,0.7330987417359778,1.7325519445924347
1401,55160,0.7535366460510414,1.7686729514140682
1451,54053,0.7732103504656288,1.8048951954563115
1501,52948,0.7928485106987986,1.842562514164841
1551,51612,0.81659202388569,1.8902580795163915
1601,50312,0.8396957418070662,1.9391000159007792
1651,49050,0.8621241202815099,1.9889908256880735
1701,47808,0.8841970569417786,2.0406626506024095
1751,46608,0.9055235657922798,2.093202883625129
1801,45432,0.9264235444657709,2.1473851030110933
1851,44282,0.9468614487808346,2.2031525224696265
1901,43169,0.9666417857396744,2.2599550603442284
1951,42069,0.9861910855193005,2.319047279469443
1994,41292,1.0,2.362685265911072
