step,u,nodes,candidate_interfaces,admissible_interfaces,admissible_fraction
0,0.0,97560,194970,68240,0.3500025644971021
27,0.018749555697732283,96505,192819,69185,0.3588080012861803
54,0.03746356721404706,95452,190631,70396,0.36927886859954573
81,0.055910997369730576,94414,188540,72153,0.38269332767582476
108,0.07414516243690908,93388,186533,74171,0.39762937389094694
135,0.09232601123196132,92365,184527,75776,0.4106499319882727
162,0.11008032985000356,91366,182567,77683,0.4255040615226191
189,0.1278346484680458,90367,180625,79625,0.4408304498269896
215,0.1446470462785242,89421,178747,81684,0.4569810961862297
242,0.16192151844743016,88449,176857,83410,0.47162396738608026
269,0.1791959906163361,87477,174922,84798,0.4847760716204937
296,0.1959906163361058,86532,173039,86386,0.4992284976219234
323,0.21278524205587546,85587,171149,87971,0.514002418944896
350,0.22940214686855762,84652,169322,89221,0.5269309363225098
377,0.24571692613919102,83734,167545,90514,0.5402369512668238
404,0.2620317054098244,82816,165739,91696,0.5532554196658602
431,0.278044359138409,81915,163941,92785,0.5659658047712287
458,0.29387929195990614,81024,162132,93765,0.578325068462734
485,0.30971422478140326,80133,160409,94879,0.5914817747133889
512,0.32515817160730787,79264,158693,95620,0.6025470562658718
539,0.34051325797966875,78400,156933,96306,0.6136758999063294
566,0.3558683443520296,77536,155216,96717,0.6231123080094836
593,0.37077912845667166,76697,153534,96818,0.6305964802584444
619,0.3851034335679249,75891,151855,97120,0.6395574725889829
646,0.3999786734911495,75054,150148,95915,0.6388030476596425
673,0.4144096111466553,74242,148504,96144,0.6474169045951624
700,0.42880500462074356,73432,146896,93050,0.6334413462585775
727,0.44320039809483186,72622,145260,93444,0.6432878975629905
754,0.45720480557332766,71834,143602,93441,0.6506942800239551
781,0.47112035259827967,71051,141961,93369,0.6577088073484971
808,0.4850358996232317,70268,140322,93686,0.6676501190119867
835,0.4986493211061349,69502,138731,93585,0.6745788612494684
862,0.5120850216819507,68746,137142,89824,0.6549707602339181
889,0.5255207222577664,67990,135610,84574,0.6236560725610206
916,0.5387964740172034,67243,134050,84757,0.6322790003729951
943,0.5517523281438829,66514,132557,84453,0.6371070558325852
970,0.5647081822705623,65785,131020,84236,0.6429247443138452
996,0.5771841899481055,65083,129582,84096,0.6489790248645645
1023,0.5897312859884837,64377,128100,84003,0.6557611241217799
1050,0.6022072936660269,63675,126660,83715,0.660942681193747
1077,0.6146833013435701,62973,125216,83431,0.6662966394071045
1104,0.6270171322954432,62279,123757,82989,0.6705802500060603
1131,0.6390132935238502,61604,122384,81393,0.6650624264609752
1158,0.651009454752257,60929,121023,81039,0.6696165191740413
1185,0.663005615980664,60254,119649,80939,0.67647034241824
1212,0.6747174237577308,59595,118281,80339,0.6792215148671384
1239,0.6862337385370015,58947,116856,79897,0.6837218456904224
1266,0.6977500533162722,58299,115488,79424,0.6877251316154059
1293,0.7092663680955428,57651,114117,78967,0.6919827895931369
1320,0.7204272410606384,57023,112838,78384,0.694659600489197
1347,0.7314637093907728,56402,111557,77819,0.6975716449886605
1374,0.742500177720907,55781,110210,77288,0.7012793757372289
1400,0.7531278879647402,55183,108841,76486,0.702731507428267
1427,0.7638266865714083,54581,107599,75852,0.7049507895054786
1454,0.7743833084524063,53987,106273,59421,0.5591354342118883
1481,0.7849399303334044,53393,105124,32311,0.3073608310186066
1508,0.7962074358427526,52759,103861,31531,0.30358844994752604
1535,0.809163289969432,52030,102444,30540,0.29811409160126506
1562,0.8216748418283927,51326,101117,29573,0.2924631862100339
1589,0.8341508495059359,50624,99768,28394,0.2846002726325074
1616,0.8465735409113528,49925,98442,27533,0.27968753174458055
1643,0.8585697021397597,49250,97121,26616,0.27404989652083483
1670,0.8705658633681667,48575,95855,15001,0.15649679202962807
1697,0.8824909362337385,47904,94605,14041,0.14841710269013267
1724,0.8940072510130092,47256,93394,13141,0.14070497034070711
1751,0.9055235657922798,46608,92176,9538,0.10347595903488978
1778,0.9170221084808416,45961,90922,8705,0.09574140472052968
1804,0.9276498187246748,45363,89780,7867,0.0876253063042994
1831,0.9386862870548092,44742,88596,5610,0.06332114316673439
1858,0.9497227553849434,44121,87469,4682,0.053527535469709266
1885,0.9603860098101941,43521,86390,3833,0.04436856117606204
1912,0.9709426316911921,42927,85263,3007,0.03526734926052332
1939,0.9814992535721903,42333,84157,1339,0.015910738263008425
1966,0.9918603824553921,41750,83075,512,0.00616310562744508
1993,1.0,41292,82176,0,0.0
