mass,count,pmf_collective,sample,state,u
2,195,0.36654135338345867,healthy_reference,early,0.1000163894124395
3,91,0.17105263157894737,healthy_reference,early,0.1000163894124395
4,61,0.11466165413533834,healthy_reference,early,0.1000163894124395
5,39,0.07330827067669173,healthy_reference,early,0.1000163894124395
6,31,0.05827067669172932,healthy_reference,early,0.1000163894124395
7,15,0.02819548872180451,healthy_reference,early,0.1000163894124395
8,8,0.015037593984962405,healthy_reference,early,0.1000163894124395
9,17,0.03195488721804511,healthy_reference,early,0.1000163894124395
10,8,0.015037593984962405,healthy_reference,early,0.1000163894124395
11,10,0.018796992481203006,healthy_reference,early,0.1000163894124395
12,5,0.009398496240601503,healthy_reference,early,0.1000163894124395
13,9,0.016917293233082706,healthy_reference,early,0.1000163894124395
14,4,0.007518796992481203,healthy_reference,early,0.1000163894124395
15,6,0.011278195488721804,healthy_reference,early,0.1000163894124395
16,8,0.015037593984962405,healthy_reference,early,0.1000163894124395
17,4,0.007518796992481203,healthy_reference,early,0.1000163894124395
18,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
20,2,0.0037593984962406013,healthy_reference,early,0.1000163894124395
21,3,0.005639097744360902,healthy_reference,early,0.1000163894124395
22,2,0.0037593984962406013,healthy_reference,early,0.1000163894124395
24,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
25,2,0.0037593984962406013,healthy_reference,early,0.1000163894124395
26,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
27,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
29,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
31,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
32,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
38,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
40,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
50,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
51,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
91,1,0.0018796992481203006,healthy_reference,early,0.1000163894124395
2,320,0.300187617260788,healthy_reference,pre-event,0.3840039334589855
3,153,0.14352720450281425,healthy_reference,pre-event,0.3840039334589855
4,111,0.10412757973733583,healthy_reference,pre-event,0.3840039334589855
5,76,0.07129455909943715,healthy_reference,pre-event,0.3840039334589855
6,49,0.04596622889305816,healthy_reference,pre-event,0.3840039334589855
7,35,0.03283302063789869,healthy_reference,pre-event,0.3840039334589855
8,24,0.0225140712945591,healthy_reference,pre-event,0.3840039334589855
9,23,0.021575984990619138,healthy_reference,pre-event,0.3840039334589855
10,23,0.021575984990619138,healthy_reference,pre-event,0.3840039334589855
11,18,0.016885553470919325,healthy_reference,pre-event,0.3840039334589855
12,17,0.01594746716697936,healthy_reference,pre-event,0.3840039334589855
13,11,0.010318949343339587,healthy_reference,pre-event,0.3840039334589855
14,8,0.0075046904315197,healthy_reference,pre-event,0.3840039334589855
15,8,0.0075046904315197,healthy_reference,pre-event,0.3840039334589855
16,12,0.01125703564727955,healthy_reference,pre-event,0.3840039334589855
17,14,0.013133208255159476,healthy_reference,pre-event,0.3840039334589855
18,11,0.010318949343339587,healthy_reference,pre-event,0.3840039334589855
19,7,0.006566604127579738,healthy_reference,pre-event,0.3840039334589855
20,7,0.006566604127579738,healthy_reference,pre-event,0.3840039334589855
21,11,0.010318949343339587,healthy_reference,pre-event,0.3840039334589855
22,5,0.004690431519699813,healthy_reference,pre-event,0.3840039334589855
23,3,0.0028142589118198874,healthy_reference,pre-event,0.3840039334589855
24,9,0.008442776735459663,healthy_reference,pre-event,0.3840039334589855
25,6,0.005628517823639775,healthy_reference,pre-event,0.3840039334589855
26,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
27,7,0.006566604127579738,healthy_reference,pre-event,0.3840039334589855
28,4,0.00375234521575985,healthy_reference,pre-event,0.3840039334589855
29,6,0.005628517823639775,healthy_reference,pre-event,0.3840039334589855
30,4,0.00375234521575985,healthy_reference,pre-event,0.3840039334589855
31,4,0.00375234521575985,healthy_reference,pre-event,0.3840039334589855
32,3,0.0028142589118198874,healthy_reference,pre-event,0.3840039334589855
33,4,0.00375234521575985,healthy_reference,pre-event,0.3840039334589855
34,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
35,4,0.00375234521575985,healthy_reference,pre-event,0.3840039334589855
36,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
37,5,0.004690431519699813,healthy_reference,pre-event,0.3840039334589855
38,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
39,5,0.004690431519699813,healthy_reference,pre-event,0.3840039334589855
40,3,0.0028142589118198874,healthy_reference,pre-event,0.3840039334589855
42,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
43,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
44,5,0.004690431519699813,healthy_reference,pre-event,0.3840039334589855
45,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
46,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
47,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
48,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
49,3,0.0028142589118198874,healthy_reference,pre-event,0.3840039334589855
51,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
52,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
53,4,0.00375234521575985,healthy_reference,pre-event,0.3840039334589855
54,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
55,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
56,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
57,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
58,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
61,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
65,2,0.001876172607879925,healthy_reference,pre-event,0.3840039334589855
66,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
69,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
70,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
71,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
73,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
75,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
80,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
83,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
85,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
87,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
