case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
eps_low_soft_late,healthy_reference,0.05,0.003984236282534321,0.02716732400237376,0.0016799147750553092,0.003664834680252582
eps_low_soft_late,healthy_reference,0.1,0.00013663068725235688,0.010624388616054858,0.0004916823731869191,0.00014489147812213332
eps_low_soft_late,healthy_reference,0.2,0.00490702479338843,0.040890173871776625,0.001597967712857501,0.003548845586480498
eps_low_soft_late,healthy_reference,0.4,0.010382778431508272,0.09989366553146795,0.005777267884946313,0.0051908388135397665
eps_low_soft_late,healthy_reference,0.55,0.0003675794890645102,0.20953730047756025,0.0014340735884618705,4.6715027747668e-05
eps_low_soft_late,alzheimers,0.05,0.0009638440923409658,0.00873234070736828,0.000556111667222775,0.000851126006405245
eps_low_soft_late,alzheimers,0.1,4.9440090969767385e-05,0.0035013662813696556,0.0002446891335780299,5.5504348601020936e-05
eps_low_soft_late,alzheimers,0.2,0.0050176599203902005,0.045693087043069625,0.002780558336113889,0.003457283866683314
eps_low_soft_late,alzheimers,0.4,0.010627511359795712,0.27625140564305894,0.018752085418752118,0.003788644635094096
eps_low_soft_late,alzheimers,0.55,0.0005981457481806401,0.6542753425453434,0.005182960738516262,0.0003128271788257475
eps_low_soft_late,gbm_reference_addon,0.05,0.0010080905730607181,0.010507279630147082,0.0008560178051703476,0.0008869665536175297
eps_low_soft_late,gbm_reference_addon,0.1,5.435964340073929e-05,0.013369759586648655,0.0008071025020177647,8.692992246217557e-05
eps_low_soft_late,gbm_reference_addon,0.2,0.005023886577284636,0.04584391748463901,0.0001712035610340612,0.003670619616457982
eps_low_soft_late,gbm_reference_addon,0.4,0.010611941531092576,0.517078270894892,0.009709687675789391,0.004823057873283965
eps_low_soft_late,gbm_reference_addon,0.55,0.0005480352934728996,0.9386412331920404,0.0015652897008829325,0.000603182975515093
eps_rescue_high_soft_early,healthy_reference,0.05,0.0009527521545190767,0.017308629627169836,0.001597967712857494,0.000819113980931041
eps_rescue_high_soft_early,healthy_reference,0.1,0.0024593523705424237,0.03101480686938274,0.0013111529951651268,0.002043494186194872
eps_rescue_high_soft_early,healthy_reference,0.2,0.005165289256198347,0.09813324817003632,0.006965500286814724,0.0034125620711125126
eps_rescue_high_soft_early,healthy_reference,0.4,0.01675088253616668,0.19544116079810436,0.0133573711382447,0.007912011446286282
eps_rescue_high_soft_early,healthy_reference,0.55,0.003308215401580592,0.40292806931485714,0.019503400803081217,0.0007936202017755356
eps_rescue_high_soft_early,alzheimers,0.05,0.001010860877333208,0.010420975231504315,0.0008230452674897124,0.0008795932662146733
