case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
eps_low_soft_late,nondiseased_kidney,0.05,0.0010073438617014363,0.04008045439931607,0.0007072570725707231,0.000880290264732686
eps_low_soft_late,nondiseased_kidney,0.1,0.0,0.07216281091595533,0.00070725707257073,5.480566513549334e-05
eps_low_soft_late,nondiseased_kidney,0.2,0.0050746345746604,0.13991027419578472,0.0025830258302582954,0.003741091443182798
eps_low_soft_late,nondiseased_kidney,0.4,0.010705823345267127,0.7663653730255326,0.018890938909389088,0.004854043740016412
eps_low_soft_late,nondiseased_kidney,0.55,0.0007115313991920676,1.446361941628652,0.003023780237802365,0.00030520661437760666
eps_low_soft_late,prcc,0.05,0.0009724533876909842,0.03253853589977851,0.0005662714563793997,0.000855943544134874
eps_low_soft_late,prcc,0.1,3.9329046467268404e-05,0.026492542556724175,0.00040700760927268875,5.846064105186066e-05
eps_low_soft_late,prcc,0.2,0.005061315496098105,0.09712360588021696,0.00371615643248982,0.0036453858755784996
eps_low_soft_late,prcc,0.4,0.010692631641826707,0.7478868955220683,0.013891346664307247,0.00461396898926969
eps_low_soft_late,prcc,0.55,0.000753221010901883,1.230614771750293,0.008794903556892608,0.0012547978962968998
eps_rescue_high_soft_early,nondiseased_kidney,0.05,0.001050670479409025,0.03245711887542768,0.0008302583025830285,0.000913921241348703
eps_rescue_high_soft_early,nondiseased_kidney,0.1,0.0025966926335930026,0.08661161157735364,0.0017937679376793664,0.002156958543003906
eps_rescue_high_soft_early,nondiseased_kidney,0.2,0.005423273591240122,0.2887884094087383,0.011275112751127497,0.0036294854688558864
eps_rescue_high_soft_early,nondiseased_kidney,0.4,0.017278057385980386,0.9655581303991845,0.025338253382533815,0.008014645907565399
eps_rescue_high_soft_early,nondiseased_kidney,0.55,0.008607234667645978,1.8220942334354149,0.030576055760557608,0.000851517352820963
eps_rescue_high_soft_early,prcc,0.05,0.0010285564677500795,0.03140795865347101,0.0007786232525216763,0.0008982567286630605
