case,sample,terminal_nodes,terminal_removed_fraction,terminal_node_relerr_vs_ref,terminal_removed_absdiff_vs_ref,terminal_VI_bits_vs_ref,terminal_top1_absdiff_vs_ref,terminal_gini_absdiff_vs_ref,stop_reason,terminal_screen_pass
eps_low_soft_late,nondiseased_kidney,29062,0.7021115211152111,0.0006886578059362303,0.00020500205002049743,2.44051455300961,0.002777777777777768,9.67932175377495e-05,no_contextually_admissible_boundaries,False
eps_low_soft_late,prcc,16577,0.706653689612458,0.11019860440150295,0.03632985312334103,2.5038352621079767,0.035975933463103904,0.036479685721040545,no_contextually_admissible_boundaries,False
eps_rescue_high_soft_early,nondiseased_kidney,25251,0.7411746617466175,0.13053508711521244,0.03885813858138587,3.087130036198058,0.02301148011480114,0.03169029920726496,no_contextually_admissible_boundaries,False
eps_rescue_high_soft_early,prcc,16680,0.7048310033622368,0.10466988727858294,0.03450716687311983,2.334341583833929,0.0013095027428773331,0.031053860119493626,no_contextually_admissible_boundaries,False
epsilon_ceiling,nondiseased_kidney,29042,0.7023165231652316,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
epsilon_ceiling,prcc,18630,0.670323836489117,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
epsilon_low,nondiseased_kidney,28850,0.7042845428454284,0.006611114936987811,0.0019680196801967753,2.3807549250494375,0.017814678146781393,0.0007800951505916309,no_contextually_admissible_boundaries,False
epsilon_low,prcc,17870,0.6837727835781278,0.04079441760601181,0.013448947089010788,2.0841442672216424,0.012263316227216381,0.011465045476978908,no_contextually_admissible_boundaries,False
frontier_high,nondiseased_kidney,29042,0.7023165231652316,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
frontier_high,prcc,18630,0.670323836489117,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
frontier_low,nondiseased_kidney,29042,0.7023165231652316,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
frontier_low,prcc,18630,0.670323836489117,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
reference,nondiseased_kidney,29042,0.7023165231652316,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
reference,prcc,18630,0.670323836489117,0.0,0.0,0.0,0.0,0.0,no_contextually_admissible_boundaries,True
rescue_looser,nondiseased_kidney,28829,0.70449979499795,0.007334205633220852,0.002183271832718381,2.650038880982482,0.05831283312833124,0.004017212803400394,no_contextually_admissible_boundaries,False
rescue_looser,prcc,17482,0.690638824986728,0.06162104133118626,0.020314988497611042,2.1601926527575372,0.007803928508228641,0.01969483323472776,no_contextually_admissible_boundaries,False
rescue_tighter,nondiseased_kidney,28418,0.7087125871258713,0.021486123545210387,0.006396063960639631,2.4827509857903998,0.016830668306683116,0.008045637792243543,no_contextually_admissible_boundaries,False
rescue_tighter,prcc,18573,0.6713325075207928,0.0030595813204508855,0.0010086710316757896,1.9483543698575865,0.00047779154132010504,0.0014503388691673447,no_contextually_admissible_boundaries,False
soft_early,nondiseased_kidney,28743,0.7053813038130381,0.010295434198746643,0.0030647806478064643,2.824282005309012,0.02141246412464126,0.0012400797929488228,no_contextually_admissible_boundaries,False
soft_early,prcc,17846,0.6841974871704123,0.04208266237251745,0.013873650681295313,1.9714558869523948,0.0022650858255176542,0.013242323499376596,no_contextually_admissible_boundaries,False
soft_late,nondiseased_kidney,29399,0.6986572365723657,0.01229254183596171,0.0036592865928659624,2.532362369762893,0.007421074210742118,0.0031634005918239616,no_contextually_admissible_boundaries,False
soft_late,prcc,18586,0.6711024597416386,0.0023617820719269993,0.0007786232525216485,2.086902454991531,0.0013625906919129127,0.00118047043746361,no_contextually_admissible_boundaries,False
