organ,comparator,global_jaccard,common_covered_fraction,jaccard_within_common_covered_nodes
Brain,Molecular-only,0.27430525116156745,0.3104564451364419,0.7353701527614571
Brain,PCA,0.21777740543710467,0.33958862574776694,0.5805046895935686
Brain,kPCA*,0.18361696930217408,0.24551339834466934,0.8108594030924128
Brain,UMAP,0.2130012099970793,0.3297140047529296,0.6017208863743517
Brain,t-SNE,0.21467368596975014,0.3296320576907318,0.6005142589995325
Kidney,Molecular-only,0.2913236824675939,0.3224579745797458,0.7545089198196432
Kidney,PCA,0.2591683657935768,0.4035567855678557,0.581004777761691
Kidney,kPCA*,0.28842232459784006,0.33498359983599835,0.7343348155269799
Kidney,UMAP,0.28977385486264023,0.41010660106601066,0.6193419378294855
Kidney,t-SNE,0.28504980886202286,0.40539155391553916,0.6236147159395212
