organ,method,n_cells,n_selected_edges,n_singletons,singleton_fraction,cell_coverage_fraction,selected_degree_mean,selected_degree_median
Brain,Integrated SUTRA,24406,14536,12812,0.5249528804392363,0.47504711956076373,1.1911824961075146,0.0
Brain,Molecular-only,24406,14536,10186,0.4173563877734983,0.5826436122265016,1.1911824961075146,1.0
Brain,PCA,24406,14536,7145,0.2927558797017127,0.7072441202982873,1.1911824961075146,1.0
Brain,kPCA*,24406,14536,11132,0.45611734819306726,0.5438826518069327,1.1911824961075146,1.0
Brain,UMAP,24406,14536,7588,0.31090715397852986,0.6890928460214701,1.1911824961075146,1.0
Brain,t-SNE,24406,14536,7593,0.3111120216340244,0.6888879783659756,1.1911824961075146,1.0
Kidney,Integrated SUTRA,97560,68240,45360,0.46494464944649444,0.5350553505535055,1.3989339893398933,1.0
Kidney,Molecular-only,97560,68240,47144,0.4832308323083231,0.5167691676916769,1.3989339893398933,1.0
Kidney,PCA,97560,68240,27395,0.28080155801558015,0.7191984419844198,1.3989339893398933,1.0
Kidney,kPCA*,97560,68240,42717,0.43785362853628534,0.5621463714637146,1.3989339893398933,1.0
Kidney,UMAP,97560,68240,29509,0.302470274702747,0.697529725297253,1.3989339893398933,1.0
Kidney,t-SNE,97560,68240,29316,0.3004920049200492,0.6995079950799508,1.3989339893398933,1.0
